kepoi_name,kepid,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_prad,koi_depth,koi_time0bk
"K00755.01",10854555,"Kepler-664 b","CONFIRMED","CANDIDATE",2.525591777,2.75,603.3,171.59555
"K00756.01",10872983,"Kepler-228 d","CONFIRMED","CANDIDATE",11.09432054,3.9,1517.5,171.20116
"K00756.02",10872983,"Kepler-228 c","CONFIRMED","CANDIDATE",4.13443512,2.77,686,172.97937
"K00756.03",10872983,"Kepler-228 b","CONFIRMED","CANDIDATE",2.56658897,1.59,226.5,179.55437
"K00834.01",5436502,"Kepler-238 e","CONFIRMED","CANDIDATE",23.65369415,7.89,3341.8,171.376107
"K00834.02",5436502,"Kepler-238 d","CONFIRMED","CANDIDATE",13.23352214,3.06,504.6,140.32196
"K00834.03",5436502,"Kepler-238 c","CONFIRMED","CANDIDATE",6.15560285,2.32,285,134.81656
"K00834.04",5436502,"Kepler-238 b","CONFIRMED","CANDIDATE",2.090811305,1.62,115.9,134.17462
"K00834.05",5436502,"Kepler-238 f","CONFIRMED","CANDIDATE",50.4467417,2.67,370.3,178.5014
"K00119.01",9471974,"Kepler-108 b","CONFIRMED","CANDIDATE",49.18394185,8.2,1646.2,141.911924
"K00835.01",5456651,"Kepler-239 b","CONFIRMED","CANDIDATE",11.76307164,2.35,1037.3,180.93613
"K00899.03",7907423,"Kepler-249 d","CONFIRMED","CANDIDATE",15.36845737,1.11,756.1,147.38965
"K00900.01",7938496,"Kepler-1730 b","CONFIRMED","CANDIDATE",13.81020318,4.56,1309.7,172.33533
"K00903.01",8039892,"Kepler-719 b","CONFIRMED","CANDIDATE",5.007316661,6.96,6932.3,173.433997
"K00904.01",8150320,"Kepler-55 d","CONFIRMED","CANDIDATE",2.211116989,1.85,724.2,170.150139
"K00961.02",8561063,"Kepler-42 c","CONFIRMED","FALSE POSITIVE",0.453287416,0.76,1461.5,133.869741
"K00961.03",8561063,"Kepler-42 d","CONFIRMED","CANDIDATE",1.865114193,0.66,1124.8,133.792344
"K01060.02",5880320,"Kepler-758 c","CONFIRMED","CANDIDATE",4.75796103,1.7,124.5,137.69636
"K01060.03",5880320,"Kepler-758 d","CONFIRMED","CANDIDATE",20.4972755,2.96,242.9,147.43894
"K01060.04",5880320,"Kepler-758 e","CONFIRMED","CANDIDATE",8.19345065,1.74,115.4,138.99617
"K01061.01",6037187,"Kepler-759 b","CONFIRMED","CANDIDATE",41.8059544,2.02,434.4,142.81919
"K01127.01",6359320,"Kepler-269 b","CONFIRMED","CANDIDATE",5.32667299,2.26,611.4,357.12617
"K01127.02",6359320,"Kepler-269 c","CONFIRMED","CANDIDATE",8.1280933,1.39,224.1,358.68367
"K00149.01",3835670,"Kepler-473 b","CONFIRMED","CANDIDATE",14.55730897,4.32,956.9,145.095012
"K01128.01",6362874,"Kepler-775 b","CONFIRMED","CANDIDATE",0.974868896,1.16,197.6,133.076265
"K01129.01",6272413,"Kepler-776 b","CONFIRMED","CANDIDATE",4.89721006,1.48,274.4,133.39852
"K01214.01",3660924,"Kepler-793 b","CONFIRMED","CANDIDATE",4.24153629,1.44,188.1,133.45522
"K00155.01",8030148,"Kepler-474 b","CONFIRMED","CANDIDATE",5.660669429,3.24,737.8,137.416045
"K01215.01",3939150,"Kepler-277 b","CONFIRMED","CANDIDATE",17.32419108,3.14,241.3,142.09977
"K01215.02",3939150,"Kepler-277 c","CONFIRMED","CANDIDATE",33.0063185,3.13,278.1,145.38821
"K01216.01",3839488,"Kepler-794 b","CONFIRMED","CANDIDATE",11.13127159,2.06,211.2,134.36341
"K01298.01",10604335,"Kepler-283 b","CONFIRMED","CANDIDATE",11.00817635,2.15,1462.5,143.22611
"K01298.02",10604335,"Kepler-283 c","CONFIRMED","FALSE POSITIVE",92.7495777,1.87,1105.1,173.27975
"K01299.01",10864656,"Kepler-432 b","CONFIRMED","CANDIDATE",52.5008645,12.41,946.7,171.52114
"K01300.01",10975146,"Kepler-808 b","CONFIRMED","CANDIDATE",0.63133171,1.2,434.5,133.94488
"K01301.01",10538176,"Kepler-284 b","CONFIRMED","CANDIDATE",12.69905011,2.62,797.4,184.9868
"K01302.01",10724369,"Kepler-809 b","CONFIRMED","CANDIDATE",55.6391882,3.13,853,187.55044
"K01304.01",10744335,"Kepler-810 b","CONFIRMED","CANDIDATE",4.59726613,1.69,313,136.47837
"K01305.01",10730034,"Kepler-285 b","CONFIRMED","CANDIDATE",2.633852528,1.38,259.8,134.56431
"K01305.02",10730034,"Kepler-285 c","CONFIRMED","CANDIDATE",6.18670882,1.21,202.6,136.63308
"K01307.02",10973814,"Kepler-287 b","CONFIRMED","CANDIDATE",20.34237838,2.88,564.6,137.6952
"K01308.01",10586208,"Kepler-811 b","CONFIRMED","CANDIDATE",23.58444746,3,429.2,145.95798
"K01309.01",10854768,"Kepler-812 b","CONFIRMED","CANDIDATE",10.1171684,3.07,288.7,137.44489
"K01310.01",10964440,"Kepler-813 b","CONFIRMED","CANDIDATE",19.12947603,4.23,451.2,139.4353
"K01320.01",4164994,"Kepler-816 b","CONFIRMED","CANDIDATE",10.50682978,9.01,13355.5,360.082152
"K01329.01",4072526,"Kepler-819 b","CONFIRMED","CANDIDATE",33.1996355,2.85,1112.5,153.66086
"K01335.01",4155328,"Kepler-820 b","CONFIRMED","CANDIDATE",127.8334997,9.46,1829.9,293.41845
"K01336.01",4077526,"Kepler-58 b","CONFIRMED","CANDIDATE",10.21864532,2.33,445.3,136.8622
"K01336.02",4077526,"Kepler-58 c","CONFIRMED","CANDIDATE",15.573637,2.94,468.1,132.44282
"K01336.03",4077526,"Kepler-58 d","CONFIRMED","CANDIDATE",40.1015561,2.92,550,132.71244
"K00733.01",10271806,"Kepler-224 c","CONFIRMED","CANDIDATE",5.924993927,3.15,1608.1,169.71629
"K00733.02",10271806,"Kepler-224 d","CONFIRMED","CANDIDATE",11.34934848,2.39,1249.8,134.31805
"K00733.03",10271806,"Kepler-224 b","CONFIRMED","CANDIDATE",3.13295351,1.39,435.2,135.67494
"K00733.04",10271806,"Kepler-224 e","CONFIRMED","CANDIDATE",18.64349986,2.14,813.4,141.62687
"K00734.01",10272442,"Kepler-657 b","CONFIRMED","CANDIDATE",24.5434566,3.08,1151.3,187.92215
"K00738.02",10358759,"Kepler-29 c","CONFIRMED","CANDIDATE",13.28689997,2.78,1039.6,172.11932
"K00739.01",10386984,"Kepler-658 b","CONFIRMED","CANDIDATE",1.287076693,1.39,729.4,169.815491
"K00740.01",10395381,"Kepler-659 b","CONFIRMED","CANDIDATE",17.6717714,2.44,918.6,186.3704
"K00749.01",10601284,"Kepler-226 c","CONFIRMED","CANDIDATE",5.349553819,2.55,831,171.80694
"K00749.02",10601284,"Kepler-226 b","CONFIRMED","CANDIDATE",3.94105221,1.7,363.3,136.08662
"K00749.03",10601284,"Kepler-226 d","CONFIRMED","CANDIDATE",8.10904807,1.3,217.4,132.8031
"K00750.01",10662202,"Kepler-662 b","CONFIRMED","CANDIDATE",21.67699193,2.95,857.2,171.53594
"K00757.01",10910878,"Kepler-229 c","CONFIRMED","CANDIDATE",16.06864674,5.76,4914.3,173.621937
"K00757.02",10910878,"Kepler-229 d","CONFIRMED","CANDIDATE",41.19725502,3.86,2213.9,165.00404
"K00757.03",10910878,"Kepler-229 b","CONFIRMED","CANDIDATE",6.252962249,2.65,1036.9,171.30126
"K00758.01",10987985,"Kepler-665 b","CONFIRMED","CANDIDATE",16.01308419,3.1,1121.9,176.3608
"K00759.01",11018648,"Kepler-230 b","CONFIRMED","CANDIDATE",32.62876672,3.36,1804.8,194.1019
"K00759.02",11018648,"Kepler-230 c","CONFIRMED","CANDIDATE",91.7732862,2.12,652,193.8378
"K00760.01",11138155,"Kepler-1976 b","CONFIRMED","CANDIDATE",4.959319244,12.21,9802,172.2585292
"K00835.02",5456651,"Kepler-239 c","CONFIRMED","CANDIDATE",56.2279271,2.37,862.7,132.29259
"K00837.01",5531576,"Kepler-240 c","CONFIRMED","CANDIDATE",7.953547,2.25,875.4,174.66224
"K00837.02",5531576,"Kepler-240 b","CONFIRMED","CANDIDATE",4.14451656,1.48,391.8,135.92831
"K00840.01",5651104,"Kepler-695 b","CONFIRMED","CANDIDATE",3.04033046,8.99,10858.8,169.9490106
"K00904.02",8150320,"Kepler-55 b","CONFIRMED","CANDIDATE",27.9541337,1.9,942.5,178.73791
"K00904.03",8150320,"Kepler-55 c","CONFIRMED","CANDIDATE",42.1406089,1.85,895.5,139.0604
"K00904.04",8150320,"Kepler-55 e","CONFIRMED","CANDIDATE",4.617490562,1.62,575.8,135.04909
"K00904.05",8150320,"Kepler-55 f","CONFIRMED","CANDIDATE",10.19849255,1.75,634.1,137.92067
"K00906.01",8226994,"Kepler-250 c","CONFIRMED","CANDIDATE",7.15681552,2.47,867,174.13511
"K00906.02",8226994,"Kepler-250 d","CONFIRMED","CANDIDATE",17.64830851,2.43,763.3,133.54533
"K00135.01",9818381,"Kepler-43 b","CONFIRMED","CANDIDATE",3.024092505,12.14,7765,132.4168573
"K01069.01",8222813,"Kepler-760 b","CONFIRMED","CANDIDATE",8.70420525,2.86,1074.9,357.55941
"K01069.02",8222813,"Kepler-760 c","CONFIRMED","CANDIDATE",2.46697039,1.56,308.7,354.93093
"K01218.01",3442055,"Kepler-795 b","CONFIRMED","CANDIDATE",29.6193891,1.74,314.7,133.68205
"K01220.01",4043190,"Kepler-796 b","CONFIRMED","CANDIDATE",6.40087137,1.91,133.6,136.8824
"K01221.01",3640905,"Kepler-278 b","CONFIRMED","CANDIDATE",30.1599411,4.54,175.9,138.51774
"K01221.02",3640905,"Kepler-278 c","CONFIRMED","CANDIDATE",51.0771048,3.66,141.5,152.35694
"K00156.01",10925104,"Kepler-114 c","CONFIRMED","CANDIDATE",8.041347775,1.29,591,143.038292
"K01301.02",10538176,"Kepler-284 c","CONFIRMED","CANDIDATE",37.5142128,2.68,935,189.30015
"K01306.01",10858691,"Kepler-286 b","CONFIRMED","CANDIDATE",1.796320953,1.2,210.9,133.33662
"K01306.02",10858691,"Kepler-286 c","CONFIRMED","CANDIDATE",3.468073,1.29,243.9,136.00831
"K00159.01",8972058,"Kepler-115 c","CONFIRMED","CANDIDATE",8.99088621,2.78,469.7,136.73923
"K01306.03",10858691,"Kepler-286 d","CONFIRMED","CANDIDATE",5.9142668,1.31,253.2,133.49193
"K01306.04",10858691,"Kepler-286 e","CONFIRMED","CANDIDATE",29.2214959,1.81,394,139.32807
"K01307.01",10973814,"Kepler-287 c","CONFIRMED","CANDIDATE",44.8520997,3.35,780.8,172.46196
"K01311.01",10713616,"Kepler-1667 b","CONFIRMED","CANDIDATE",83.5781976,6.63,630.8,202.45865
"K01312.01",10963242,"Kepler-814 b","CONFIRMED","CANDIDATE",6.1469956,2.04,249.6,135.07385
"K00159.02",8972058,"Kepler-115 b","CONFIRMED","CANDIDATE",2.403640701,1.24,74.9,134.73065
"K01314.01",10585852,"Kepler-815 b","CONFIRMED","CANDIDATE",8.57504983,4.26,160.6,140.14063
"K01316.01",10794087,"Kepler-1743 b","CONFIRMED","CANDIDATE",7.64970832,1.43,55.4,138.33113
"K01323.01",4076098,"Kepler-817 b","CONFIRMED","CANDIDATE",3.990105908,7.45,6154.9,355.840837
"K01325.01",4282872,"Kepler-818 b","CONFIRMED","CANDIDATE",10.035381809,4.42,2829.7,137.471481
"K00161.01",5084942,"Kepler-475 b","CONFIRMED","CANDIDATE",3.105507835,2.68,904.6,133.210427
"K01332.01",4455231,"Kepler-288 c","CONFIRMED","CANDIDATE",19.30581662,4,709.1,373.18998
"K01332.02",4455231,"Kepler-288 b","CONFIRMED","CANDIDATE",6.09747233,2.22,217.6,354.05919
"K01332.03",4455231,"Kepler-288 d","CONFIRMED","CANDIDATE",56.637918,3.68,589.7,135.51975
"K00162.01",8107380,"Kepler-476 b","CONFIRMED","CANDIDATE",14.00640392,3.11,716.4,142.20885
"K01336.04",4077526,"Kepler-58 e","CONFIRMED","CANDIDATE",4.45814897,1.61,188.1,134.39743
"K01337.01",4243911,"Kepler-821 b","CONFIRMED","CANDIDATE",1.922799706,1.28,259.7,134.50174
"K01338.01",4466677,"Kepler-822 b","CONFIRMED","CANDIDATE",3.222975318,1.47,232.7,178.0701
"K01339.01",4135665,"Kepler-823 b","CONFIRMED","CANDIDATE",4.16811839,2.28,263,134.89621
"K00001.01",11446443,"Kepler-1 b","CONFIRMED","CANDIDATE",2.470613377,13.04,14230.9,122.763305
"K00002.01",10666592,"Kepler-2 b","CONFIRMED","CANDIDATE",2.204735417,16.1,6674.7,121.3585417
"K00112.02",10984090,"Kepler-466 c","CONFIRMED","CANDIDATE",3.709214104,1.16,131.1,133.98318
"K00732.01",10265898,"Kepler-656 b","CONFIRMED","CANDIDATE",1.260258822,3.57,1130.7,170.408984
"K00732.03",10265898,"Kepler-656 c","CONFIRMED","CANDIDATE",5.25449393,1.41,169,132.55624
"K00736.01",10340423,"Kepler-225 c","CONFIRMED","CANDIDATE",18.79418506,2.33,1529,177.79426
"K00736.02",10340423,"Kepler-225 b","CONFIRMED","CANDIDATE",6.73893544,1.44,601.3,135.28218
"K00738.01",10358759,"Kepler-29 b","CONFIRMED","CANDIDATE",10.3392408,2.98,1184.6,170.38549
"K00115.01",9579641,"Kepler-105 b","CONFIRMED","CANDIDATE",5.412203927,2.94,601.6,133.143089
"K00746.01",10526549,"Kepler-660 b","CONFIRMED","CANDIDATE",9.27358173,2.47,1288.3,173.258155
"K00747.01",10583066,"Kepler-661 b","CONFIRMED","CANDIDATE",6.02930329,2.85,1912.7,171.602959
"K00115.02",9579641,"Kepler-105 c","CONFIRMED","CANDIDATE",7.12594387,1.79,192.4,139.00492
"K00762.01",11153539,"Kepler-666 b","CONFIRMED","CANDIDATE",4.49876511,2.1,460,171.34905
"K00116.01",8395660,"Kepler-106 c","CONFIRMED","CANDIDATE",13.57078281,2.64,511.7,136.279194
"K00764.01",11304958,"Kepler-667 b","CONFIRMED","CANDIDATE",41.43958662,5.5,2793.1,208.93203
"K00765.01",11391957,"Kepler-668 b","CONFIRMED","CANDIDATE",8.35389523,2.52,1041.6,171.63257
"K00766.01",11403044,"Kepler-669 b","CONFIRMED","CANDIDATE",4.125543472,4.43,1487.3,169.752585
"K00841.01",5792202,"Kepler-27 b","CONFIRMED","CANDIDATE",15.33528675,5,3081.4,174.00278
"K00841.02",5792202,"Kepler-27 c","CONFIRMED","CANDIDATE",31.33046135,6.5,5073.8,153.43031
"K00119.02",9471974,"Kepler-108 c","CONFIRMED","CANDIDATE",190.3200468,7.78,1141.7,312.68498
"K00841.03",5792202,"Kepler-27 d","CONFIRMED","CANDIDATE",6.54626149,2.19,655.9,133.85964
"K00842.01",5794379,"Kepler-241 b","CONFIRMED","CANDIDATE",12.71809866,2.31,1149.4,175.35526
"K00906.03",8226994,"Kepler-250 b","CONFIRMED","CANDIDATE",4.14810719,1.08,175.2,133.3881
"K00907.01",8247638,"Kepler-251 c","CONFIRMED","CANDIDATE",16.51410989,2.72,973.5,176.11686
"K00907.02",8247638,"Kepler-251 d","CONFIRMED","CANDIDATE",30.1329298,3.14,1015.8,190.38336
"K00907.03",8247638,"Kepler-251 b","CONFIRMED","CANDIDATE",4.79090809,1.36,251.3,136.31106
"K00907.04",8247638,"Kepler-251 e","CONFIRMED","CANDIDATE",99.6415962,2.64,952.5,198.68664
"K00908.01",8255887,"Kepler-720 b","CONFIRMED","CANDIDATE",4.708326451,10.6,7912.7,171.446507
"K00975.01",3632418,"Kepler-21 b","CONFIRMED","CANDIDATE",2.785821236,1.69,68.9,260.83731
"K00150.01",7626506,"Kepler-112 b","CONFIRMED","CANDIDATE",8.408878137,2.28,798.9,134.006366
"K01141.01",8346392,"Kepler-777 b","CONFIRMED","CANDIDATE",5.72812616,1.38,643.4,135.18066
"K00767.01",11414511,"Kepler-670 b","CONFIRMED","CANDIDATE",2.816504904,12.21,16813.7,170.9676846
"K00769.01",11460018,"Kepler-671 b","CONFIRMED","CANDIDATE",4.280963604,2.3,750.8,171.89659
"K00842.02",5794379,"Kepler-241 c","CONFIRMED","CANDIDATE",36.06588163,2.64,1563.8,198.58423
"K00843.01",5881688,"Kepler-696 b","CONFIRMED","CANDIDATE",4.190425659,6.21,2877.4,171.44122
"K00844.01",6022556,"Kepler-697 b","CONFIRMED","CANDIDATE",3.709870784,4.35,2020.3,171.987982
"K00845.01",6032497,"Kepler-698 b","CONFIRMED","CANDIDATE",16.3297527,3.75,1187.5,177.29506
"K00846.01",6061119,"Kepler-699 b","CONFIRMED","CANDIDATE",27.807566216,13.84,25391.1,186.713552
"K00847.01",6191521,"Kepler-700 b","CONFIRMED","CANDIDATE",80.8723469,7.59,3604.6,203.895
"K00910.01",8414716,"Kepler-721 b","CONFIRMED","CANDIDATE",5.392026903,2.68,1151.4,171.72707
"K00911.01",8490993,"Kepler-722 b","CONFIRMED","CANDIDATE",4.093578461,2.85,538.6,171.00954
"K00911.02",8490993,"Kepler-722 c","CONFIRMED","CANDIDATE",105.145959,3.43,685.4,178.367
"K00912.01",8505670,"Kepler-252 c","CONFIRMED","CANDIDATE",10.8484518,2.34,1675.6,171.80584
"K00912.02",8505670,"Kepler-252 b","CONFIRMED","CANDIDATE",6.66833241,1.18,362.3,137.43988
"K00127.01",8359498,"Kepler-77 b","CONFIRMED","CANDIDATE",3.578780566,10.43,11382.2,134.0304187
"K00984.01",1161345,"Kepler-1973 b","CONFIRMED","CANDIDATE",4.28746668,2.29,790.1,262.06245
"K00986.01",2854698,"Kepler-260 b","CONFIRMED","CANDIDATE",8.18739443,1.92,517.6,260.86931
"K00986.02",2854698,"Kepler-260 c","CONFIRMED","CANDIDATE",76.0498163,1.75,445.9,161.71445
"K00987.01",7295235,"Kepler-743 b","CONFIRMED","CANDIDATE",3.179267286,1.21,200.9,261.841607
"K01142.01",8288947,"Kepler-778 b","CONFIRMED","CANDIDATE",3.75574267,1.58,417.4,133.4333
"K00150.02",7626506,"Kepler-112 c","CONFIRMED","CANDIDATE",28.5742692,2.32,824.9,143.8315
"K01146.01",8351704,"Kepler-779 b","CONFIRMED","CANDIDATE",7.09712124,0.74,369.5,136.34514
"K00156.02",10925104,"Kepler-114 b","CONFIRMED","CANDIDATE",5.188563677,1,358.7,145.362252
"K00116.02",8395660,"Kepler-106 e","CONFIRMED","CANDIDATE",43.84439721,2.87,615.2,151.93538
"K00773.01",11507101,"Kepler-672 b","CONFIRMED","CANDIDATE",38.3775486,2.82,724.2,172.82048
"K00775.01",11754553,"Kepler-52 c","CONFIRMED","CANDIDATE",16.38489988,2,1127.1,172.72782
"K00775.02",11754553,"Kepler-52 b","CONFIRMED","CANDIDATE",7.8774163,2.16,1306.1,176.3759
"K00775.03",11754553,"Kepler-52 d","CONFIRMED","CANDIDATE",36.4454001,1.99,1122.3,151.60125
"K00776.01",11812062,"Kepler-673 b","CONFIRMED","CANDIDATE",3.728732147,6.02,5226.5,171.793255
"K00849.01",6276477,"Kepler-701 b","CONFIRMED","CANDIDATE",10.35533116,2.47,750.6,170.93729
"K00850.01",6291653,"Kepler-702 b","CONFIRMED","CANDIDATE",10.526294577,8.24,9768,176.522462
"K00851.01",6392727,"Kepler-703 b","CONFIRMED","CANDIDATE",4.583520948,5.39,3812.1,169.973972
"K00852.01",6422070,"Kepler-704 b","CONFIRMED","CANDIDATE",3.76181843,2.66,510.6,171.90364
"K00853.01",6428700,"Kepler-242 b","CONFIRMED","CANDIDATE",8.20396958,3.01,1024.4,169.69138
"K00913.01",8544996,"Kepler-723 b","CONFIRMED","CANDIDATE",4.082274889,10.55,17859.2,169.6375652
"K00916.01",8628973,"Kepler-724 b","CONFIRMED","CANDIDATE",3.314947362,3.94,1398.2,171.313058
"K00918.01",8672910,"Kepler-725 b","CONFIRMED","CANDIDATE",39.6431552,10.98,15663.8,206.596798
"K00988.01",2302548,"Kepler-261 b","CONFIRMED","CANDIDATE",10.38122447,2.18,801.5,268.02421
"K00137.01",8644288,"Kepler-18 c","CONFIRMED","CANDIDATE",7.641567589,4.91,2269.7,135.407564
"K00988.02",2302548,"Kepler-261 c","CONFIRMED","CANDIDATE",24.5709023,2.82,764.2,135.87209
"K00991.01",10154388,"Kepler-744 b","CONFIRMED","CANDIDATE",12.06222962,1.62,300.2,138.22229
"K00992.01",1432789,"Kepler-745 b","CONFIRMED","CANDIDATE",9.93146307,2.41,398.6,136.49128
"K01070.01",8240904,"Kepler-266 b","CONFIRMED","CANDIDATE",6.61836309,2.98,549.1,360.36694
"K01148.01",8410727,"Kepler-270 b","CONFIRMED","CANDIDATE",11.47609015,2.07,182.3,135.39622
"K01148.02",8410727,"Kepler-270 c","CONFIRMED","CANDIDATE",25.2630467,1.71,125.5,134.18397
"K01150.01",8278371,"Kepler-780 b","CONFIRMED","CANDIDATE",0.677374687,0.9,76.7,133.94573
"K01151.01",8280511,"Kepler-271 b","CONFIRMED","CANDIDATE",10.43547031,1.22,210.2,134.82462
"K01151.02",8280511,"Kepler-271 c","CONFIRMED","CANDIDATE",7.41084314,0.94,124.1,135.75425
"K01151.03",8280511,"Kepler-271 d","CONFIRMED","CANDIDATE",5.24970432,0.67,61.9,135.46911
"K01236.01",6677841,"Kepler-279 c","CONFIRMED","FALSE POSITIVE",35.7353616,5.47,778.8,151.1133
"K01236.02",6677841,"Kepler-279 b","CONFIRMED","FALSE POSITIVE",12.30971679,3.82,396,137.68401
"K01236.04",6677841,"Kepler-279 e","CONFIRMED","CANDIDATE",98.353149,4.13,423,217.883
"K01238.01",6383821,"Kepler-797 b","CONFIRMED","CANDIDATE",27.07237655,2.18,514.2,139.1127
"K00778.01",11853255,"Kepler-674 b","CONFIRMED","CANDIDATE",2.243380573,1.99,821.7,170.679233
"K00780.01",11918099,"Kepler-675 b","CONFIRMED","CANDIDATE",2.337437946,2.34,971.2,171.761982
"K00116.03",8395660,"Kepler-106 b","CONFIRMED","CANDIDATE",6.164876,0.79,55.8,135.63916
"K00781.01",11923270,"Kepler-676 b","CONFIRMED","CANDIDATE",11.59822233,2.65,2804.5,180.395376
"K00853.02",6428700,"Kepler-242 c","CONFIRMED","CANDIDATE",14.49645186,3.01,647.5,143.41659
"K00854.01",6435936,"Kepler-705 b","CONFIRMED","CANDIDATE",56.0560754,1.94,1626,201.16578
"K00855.01",6522242,"Kepler-706 b","CONFIRMED","CANDIDATE",41.408316686,11.38,22838.9,195.78745
"K00857.01",6587280,"Kepler-243 b","CONFIRMED","CANDIDATE",5.715425977,2.47,908.1,174.87931
"K00857.02",6587280,"Kepler-243 c","CONFIRMED","CANDIDATE",20.0261412,2.28,421.2,146.91109
"K00920.01",8689031,"Kepler-726 b","CONFIRMED","CANDIDATE",21.80451611,2.6,1144.9,190.49737
"K00921.01",8689373,"Kepler-253 c","CONFIRMED","CANDIDATE",10.28194593,2.53,1110.7,175.33988
"K00921.02",8689373,"Kepler-253 d","CONFIRMED","CANDIDATE",18.11993039,2.95,1506.9,182.61535
"K00128.01",11359879,"Kepler-15 b","CONFIRMED","CANDIDATE",4.942783419,10.62,11144.7,136.3294353
"K00921.03",8689373,"Kepler-253 b","CONFIRMED","CANDIDATE",3.78402867,1.7,426.1,133.28133
"K00922.01",8826878,"Kepler-727 b","CONFIRMED","CANDIDATE",5.15448142,2.94,697.5,171.6389
"K00993.01",1718189,"Kepler-262 c","CONFIRMED","CANDIDATE",21.85362905,1.75,355.6,144.32031
"K00993.02",1718189,"Kepler-262 b","CONFIRMED","CANDIDATE",13.0607936,1.45,236.6,137.63148
"K00137.02",8644288,"Kepler-18 d","CONFIRMED","CANDIDATE",14.85890852,5.94,3269,128.154869
