kepoi_name,kepid,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_prad,koi_depth,koi_time0bk
"K00753.01",10811496,,"FALSE POSITIVE","FALSE POSITIVE",19.89913995,14.6,10829,175.850252
"K00754.01",10848459,,"FALSE POSITIVE","FALSE POSITIVE",1.736952453,33.46,8079.2,170.307565
"K00126.01",5897826,"Kepler-469 b","FALSE POSITIVE","FALSE POSITIVE",33.80364366,20.7,13494.4,202.259731
"K00964.01",10657664,,"FALSE POSITIVE","FALSE POSITIVE",3.273699006,22.36,6862.8,171.2385098
"K00965.01",3337351,,"FALSE POSITIVE","FALSE POSITIVE",7.047103499,51.86,71318,175.03337
"K00966.01",3233043,,"FALSE POSITIVE","FALSE POSITIVE",0.379463865,59.56,1973.3,170.2480164
"K00967.01",6579806,,"FALSE POSITIVE","FALSE POSITIVE",9.88047978,23.6,18541,173.608672
"K00968.01",3560301,,"FALSE POSITIVE","FALSE POSITIVE",4.6484156,5.06,128.4,261.09395
"K01062.01",6147122,,"FALSE POSITIVE","FALSE POSITIVE",15.45158184,2.02,85.3,142.21096
"K01063.01",8257407,,"FALSE POSITIVE","FALSE POSITIVE",89.698168533,102.08,273106,176.3060152
"K01126.02",6307521,,"FALSE POSITIVE","FALSE POSITIVE",475.91706,28.22,967.3,588.8926
"K01213.01",3556220,,"FALSE POSITIVE","FALSE POSITIVE",0.796722833,1.44,107.1,133.07985
"K01217.01",3542588,,"FALSE POSITIVE","FALSE POSITIVE",3.47143963,1.19,99.8,133.74061
"K01297.01",10676923,,"FALSE POSITIVE","FALSE POSITIVE",1.031096352,2.36,265.4,133.93938
"K00158.01",10555375,,"FALSE POSITIVE","FALSE POSITIVE",5.80181368,4.52,269.6,137.57807
"K01317.01",4275739,,"FALSE POSITIVE","FALSE POSITIVE",2.171827838,58.56,42086,355.083686
"K01318.01",4070376,,"FALSE POSITIVE","FALSE POSITIVE",1.634614356,44.22,19761.5,133.96855
"K01319.01",4078157,,"FALSE POSITIVE","FALSE POSITIVE",16.025018977,1069.01,29090,367.693328
"K01321.01",4480676,,"FALSE POSITIVE","FALSE POSITIVE",0.711966971,33.34,6227.5,134.223486
"K01327.01",4372768,,"FALSE POSITIVE","FALSE POSITIVE",15.6402515,18.11,800.3,359.07991
"K01330.01",4150539,,"FALSE POSITIVE","FALSE POSITIVE",8.65306587,19.78,1048.1,134.30886
"K01330.02",4150539,,"FALSE POSITIVE","FALSE POSITIVE",94.219289,2.15,1025.9,196.1952
"K01334.02",4150624,,"FALSE POSITIVE","FALSE POSITIVE",94.225938,1.93,530.4,196.1319
"K00741.01",10418797,,"FALSE POSITIVE","FALSE POSITIVE",23.355341391,21.55,38524,169.8339432
"K00742.01",10419211,,"FALSE POSITIVE","FALSE POSITIVE",11.521446064,150.51,17984.3,170.839688
"K00748.01",10583180,,"FALSE POSITIVE","FALSE POSITIVE",2.696370652,1.58,397.9,170.73769
"K00836.01",5481416,,"FALSE POSITIVE","FALSE POSITIVE",2.384052875,17.06,1268.1,171.58362
"K00838.01",5534814,,"FALSE POSITIVE","FALSE POSITIVE",4.859386384,38.33,6044.3,173.011469
"K00839.01",5649215,,"FALSE POSITIVE","FALSE POSITIVE",2.446737317,26.25,1177.9,170.66951
"K00905.01",8180063,,"FALSE POSITIVE","FALSE POSITIVE",5.795063956,4.33,1692.9,172.697467
"K00969.01",4044005,,"FALSE POSITIVE","FALSE POSITIVE",17.512014768,13.66,4511.7,174.282592
"K00970.01",11502218,,"FALSE POSITIVE","FALSE POSITIVE",3.9886021,34.39,673.5,171.01852
"K00972.02",11013201,,"FALSE POSITIVE","FALSE POSITIVE",7.82187328,2.78,42.2,123.49907
"K01065.01",8242681,,"FALSE POSITIVE","FALSE POSITIVE",4.020628573,16.94,20901,133.638478
"K01067.01",8246781,,"FALSE POSITIVE","FALSE POSITIVE",185.02288222,49.82,43546.7,273.185533
"K01068.01",8264070,,"FALSE POSITIVE","FALSE POSITIVE",2.897432135,14.35,1223.7,450.75739
"K01130.01",8279765,,"FALSE POSITIVE","FALSE POSITIVE",2.757794163,20.05,39043,135.232863
"K01132.01",8330548,,"FALSE POSITIVE","FALSE POSITIVE",1.914158508,13.63,7829.2,134.644919
"K01133.01",8374494,,"FALSE POSITIVE","FALSE POSITIVE",5.251916208,37.15,10624.3,357.321883
"K01134.01",8414907,,"FALSE POSITIVE","FALSE POSITIVE",100.3039228,29.55,5450,277.0607
"K01134.02",8414907,,"FALSE POSITIVE","FALSE POSITIVE",200.61103346,,,456.84444
"K01135.01",8397446,,"FALSE POSITIVE","FALSE POSITIVE",0.986620248,43.98,1345.8,448.5959
"K01223.01",6613006,,"FALSE POSITIVE","FALSE POSITIVE",7.388833611,10.66,13063.5,133.9344039
"K01224.01",6606653,,"FALSE POSITIVE","FALSE POSITIVE",2.698021895,52.51,6721.2,136.32786
"K01313.01",10785538,,"FALSE POSITIVE","FALSE POSITIVE",0.522457732,1.52,143.8,133.751976
"K01322.01",4079535,,"FALSE POSITIVE","FALSE POSITIVE",17.72724392,14.77,16878,356.795528
"K01324.01",4551328,,"FALSE POSITIVE","FALSE POSITIVE",0.52205862,27.16,1381.3,133.138446
"K01326.01",4639868,,"FALSE POSITIVE","FALSE POSITIVE",53.100942624,24.02,19981.1,135.9717179
"K01333.01",4285107,,"FALSE POSITIVE","FALSE POSITIVE",2.243016513,1.37,299.6,133.45086
"K01334.01",4150624,,"FALSE POSITIVE","FALSE POSITIVE",8.6531216,22.58,654.8,134.30147
"K00011.01",11913073,,"FALSE POSITIVE","FALSE POSITIVE",3.747838198,13.65,616,171.66504
"K00114.01",6721123,,"FALSE POSITIVE","FALSE POSITIVE",7.36178958,39.21,233.7,132.25053
"K00737.01",10345478,,"FALSE POSITIVE","FALSE POSITIVE",14.49839316,5.16,3271.1,182.679596
"K00743.01",10464078,,"FALSE POSITIVE","FALSE POSITIVE",19.40393776,7.18,8918.7,172.484253
"K00744.01",10480982,,"FALSE POSITIVE","FALSE POSITIVE",19.221388942,49.29,74284,184.5521637
"K00744.02",10480982,,"FALSE POSITIVE","FALSE POSITIVE",2.03746414,1.12,138.8,131.54567
"K00745.01",10485250,,"FALSE POSITIVE","FALSE POSITIVE",16.46983774,7.94,10478.9,180.881761
"K00761.01",11152159,,"FALSE POSITIVE","FALSE POSITIVE",2.701287801,6.54,860.4,170.69579
"K00763.01",11242721,,"FALSE POSITIVE","FALSE POSITIVE",19.651209505,12.42,11766.3,179.401981
"K00841.04",5792202,,"FALSE POSITIVE","FALSE POSITIVE",269.306232,24,1708,285.6272
"K00841.05",5792202,,"FALSE POSITIVE","FALSE POSITIVE",499.47338,3.71,1662,455.5672
"K00976.01",3441784,,"FALSE POSITIVE","FALSE POSITIVE",52.56901867,78.54,26900,184.971267
"K00978.01",11494130,,"FALSE POSITIVE","FALSE POSITIVE",18.95491633,71.39,867.5,262.46677
"K00136.01",7601633,,"FALSE POSITIVE","FALSE POSITIVE",15.663886949,27.36,5144.4,147.395712
"K00979.01",5648449,,"FALSE POSITIVE","FALSE POSITIVE",4.348866254,2436.69,625.6,262.72768
"K00980.01",12167361,,"FALSE POSITIVE","FALSE POSITIVE",47.93094546,68.02,2144.4,179.096467
"K01136.01",8386035,,"FALSE POSITIVE","FALSE POSITIVE",1.63484631,,,134.512115
"K01137.01",8332986,,"FALSE POSITIVE","FALSE POSITIVE",302.38867822,40.73,41320,309.18675
"K01138.01",8415745,,"FALSE POSITIVE","FALSE POSITIVE",31.82814583,35.8,4456.8,366.704854
"K01139.01",8378634,,"FALSE POSITIVE","FALSE POSITIVE",3.629442796,3.28,426.6,134.70066
"K01225.01",6620003,,"FALSE POSITIVE","FALSE POSITIVE",1.714274727,25,28460.1,133.3158074
"K01226.01",6621116,,"FALSE POSITIVE","FALSE POSITIVE",137.75960504,49.52,83298,173.16476
"K01227.01",6629332,,"FALSE POSITIVE","FALSE POSITIVE",2.155278342,16.89,20739,133.576109
"K01228.01",6387450,,"FALSE POSITIVE","FALSE POSITIVE",3.661326482,12.07,17846,135.26995
